name,exchange,root_ticker,GoogleFin_ticker
Outrider Energy Corp.,Canadian Securities Exchange,MCF,CNSX:MCF
Pacific Therapeutics Ltd. ,Canadian Securities Exchange,PT,CNSX:PT
ParcelPal Technology Inc.,Canadian Securities Exchange,PKG,CNSX:PKG
Park Lawn Company Limited,Canadian Securities Exchange,PRL,CNSX:PRL
Pasinex Resources Limited ,Canadian Securities Exchange,PSE,CNSX:PSE
PDC Biological Health Group Corporation ,Canadian Securities Exchange,PHG,CNSX:PHG
Peak Positioning Technologies Inc. ,Canadian Securities Exchange,PKK,CNSX:PKK
Peloton Minerals Corporation,Canadian Securities Exchange,PMC,CNSX:PMC
Perisson Petroleum Corporation,Canadian Securities Exchange,POG,CNSX:POG
Petrocapita Income Trust ,Canadian Securities Exchange,PCE.UN,CNSX:PCE.UN
Pivotal Therapeutics Inc.,Canadian Securities Exchange,PVO,CNSX:PVO
Plaintree Systems Inc.,Canadian Securities Exchange,NPT,CNSX:NPT
Portage Biotech Inc ,Canadian Securities Exchange,PBT.U,CNSX:PBT.U
Portex Minerals Inc.,Canadian Securities Exchange,PAX,CNSX:PAX
Premier Diversified Holdings Inc. ,Canadian Securities Exchange,PDH,CNSX:PDH
PrimeWest Mortgage Investment Corporation ,Canadian Securities Exchange,PRI,CNSX:PRI
PUDO Inc. ,Canadian Securities Exchange,PDO,CNSX:PDO
PUF Ventures Inc ,Canadian Securities Exchange,PUF,CNSX:PUF
Quinsam Capital Corporation,Canadian Securities Exchange,QCA,CNSX:QCA
Qwick Media Inc. ,Canadian Securities Exchange,QMI,CNSX:QMI
Range Energy Resources Inc.,Canadian Securities Exchange,RGO,CNSX:RGO
Ravencrest Resources Inc.,Canadian Securities Exchange,RVT,CNSX:RVT
Razore Rock Resources Inc.,Canadian Securities Exchange,RZR,CNSX:RZR
Renforth Resources Inc.,Canadian Securities Exchange,RFR,CNSX:RFR
RESAAS Services Inc.,Canadian Securities Exchange,RSS,CNSX:RSS
Rheingold Exploration Corp. ,Canadian Securities Exchange,RGE,CNSX:RGE
Rift Valley Resources Corp. ,Canadian Securities Exchange,RVR,CNSX:RVR
